Name,Rating,Price
Apple iPhone 13 (128GB) - Green,4.6 out of 5 stars,"52,499"
Apple iPhone 13 (128GB) - Midnight,4.6 out of 5 stars,"52,499"
Apple iPhone 14 Pro Max (128 GB) - Gold,4.5 out of 5 stars,"1,27,999"
Apple iPhone 14 (256 GB) - (Product) RED,4.5 out of 5 stars,"71,999"
Apple iPhone 14 Pro (128 GB) - Silver,4.6 out of 5 stars,"1,19,900"
Apple iPhone 14 Plus (256 GB) - Starlight,4.5 out of 5 stars,"82,999"
Apple iPhone 12 (256GB) - Green,4.5 out of 5 stars,"64,900"
Apple iPhone 12 (256GB) - Blue,4.5 out of 5 stars,"63,999"
Apple iPhone 14 Plus (512 GB) - Blue,4.5 out of 5 stars,"99,990"
Apple iPhone 13 (128GB) - (Product) RED,4.6 out of 5 stars,"52,499"
Apple iPhone 12 (64GB) - (Product) RED,4.5 out of 5 stars,"48,990"
Apple iPhone 13 Mini (512GB) - Pink,4.5 out of 5 stars,"94,900"
Apple iPhone 14 Plus (256 GB) - (Product) RED,4.5 out of 5 stars,"82,999"
Apple iPhone 13 (128GB) - Green,4.6 out of 5 stars,"52,499"
Apple iPhone 13 (128GB) - Starlight,4.6 out of 5 stars,"52,499"
Apple iPhone 15 Silicone Case with MagSafe - Storm Blue ​​​​​​​,5.0 out of 5 stars,"4,900"
Apple iPhone 14 Pro (256 GB) - Deep Purple,4.6 out of 5 stars,"1,29,900"
Apple iPhone 14 Plus (256 GB) - Yellow,4.5 out of 5 stars,"82,999"
"Tough Lee (Pack of 2 Tempered Glass Screen Guard Protector for Apple iPhone 14 / Apple iPhone 13, Apple iPhone 13 Pro (Will Not Cover Edges of the Mobile)",4.2 out of 5 stars,150
Apple iPhone 14 Plus (512 GB) - (Product) RED,4.5 out of 5 stars,"1,02,999"
Apple iPhone 13 (128GB) - Green,4.6 out of 5 stars,"52,499"
Apple iPhone 13 (128GB) - Green,4.6 out of 5 stars,"52,499"
Apple iPhone 13 (128GB) - Starlight,4.6 out of 5 stars,"52,499"
Apple iPhone 12 (256GB) - Purple,4.5 out of 5 stars,"63,999"
Apple iPhone 14 Pro (128 GB) - Deep Purple,4.6 out of 5 stars,"1,19,900"
Apple iPhone 14 (512 GB) - (Product) RED,4.5 out of 5 stars,"93,999"
Apple iPhone 13 (128GB) - Starlight,4.6 out of 5 stars,"52,499"
Apple iPhone 14 Pro (128 GB) - Space Black,4.6 out of 5 stars,"1,19,900"
Apple iPhone 14 Plus (128 GB) - Yellow,4.5 out of 5 stars,"72,999"
Apple iPhone 14 Plus (512 GB) - Purple,4.5 out of 5 stars,"1,02,999"
Apple iPhone 12 (256GB) - Black,4.5 out of 5 stars,"63,999"
"Tough Lee (Pack of 2 Tempered Glass Screen Guard Protector for Apple iPhone 14 / Apple iPhone 13, Apple iPhone 13 Pro (Will Not Cover Edges of the Mobile)",4.2 out of 5 stars,150
Apple iPhone 14 Pro (256 GB) - Silver,4.6 out of 5 stars,"1,39,900"
Apple iPhone 12 (256GB) - Purple,4.5 out of 5 stars,"63,999"
Apple iPhone 13 (128GB) - Green,4.6 out of 5 stars,"52,499"
Apple iPhone 13 (128GB) - Starlight,4.6 out of 5 stars,"52,499"
Apple iPhone 14 (256 GB) - Midnight,4.5 out of 5 stars,"73,999"
Apple iPhone 14 Plus (512 GB) - Starlight,4.5 out of 5 stars,"1,02,999"
Apple iPhone 14 Pro (512 GB) - Silver,4.6 out of 5 stars,"1,49,900"
Apple iPhone 14 Plus (512 GB) - Midnight,4.5 out of 5 stars,"1,02,999"
Apple iPhone 12 (256GB) - Black,4.5 out of 5 stars,"63,999"
Apple iPhone 14 Pro Max (1 TB) - Deep Purple,4.5 out of 5 stars,"1,77,999"
Apple iPhone 14 (256 GB) - Yellow,4.5 out of 5 stars,"73,999"
Apple iPhone 14 (512 GB) - Starlight,4.5 out of 5 stars,"90,990"
