,names,prices
0,Fair-X - Gold Pilot Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  256
"
1,Style Smith Unisex Square Polarized & UV Protected Black Lens Sunglasses,"
Rs. 999
Rs.  329
"
2,Creature - Black Square Sunglasses ( Pack of 2 ),"
Rs. 2,499
Rs.  419
"
3,Fair-X - Gold Pilot Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  230
"
4,YourSpex - Brown Square Sunglasses Pack of 1,"
Rs. 2,595
Rs.  775
"
5,Kanny Devis - Gold Pilot Sunglasses ( Pack of 1 ),"
Rs. 1,299
Rs.  189
"
6,"RESIST EYEWEAR - Black Square,Rectangular Sunglasses ( Pack of 1 )","
Rs. 4,999
Rs.  875
"
7,Style Smith Unisex Pilot Polarized & UV Protected Grey Lens Sunglasses,"
Rs. 799
Rs.  359
"
8,Style Smith Unisex Pilot Polarized & UV Protected Green Lens Sunglasses,"
Rs. 799
Rs.  269
"
9,Peter Jones - Black Square Sunglasses ( 2811BT ),"
Rs. 1,399
Rs.  539
"
10,Fair-X - Dark Grey Pilot Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  206
"
11,"RESIST EYEWEAR - Black Round,Pilot Sunglasses ( Pack of 1 )","
Rs. 4,999
Rs.  1,299
"
12,Peter Jones - Black Square Sunglasses ( Pack of 1 ),"
Rs. 1,999
Rs.  599
"
13,YourSpex - Brown Round Sunglasses Pack of 1,"
Rs. 2,595
Rs.  539
"
14,Arizona Sunglasses - Black Rectangular Sunglasses ( Pack of 1 ),"
Rs. 1,599
Rs.  369
"
15,RESIST EYEWEAR - Black Square Sunglasses ( Pack of 1 ),"
Rs. 3,499
Rs.  1,299
"
16,Peter Jones - Blue Pilot Sunglasses ( ZBLS006 ),"
Rs. 1,200
Rs.  379
"
17,Creature - Black Square Sunglasses ( Pack of 1 ),"
Rs. 1,999
Rs.  319
"
18,Style Smith - Black Geometric Sunglasses ( Pack of 1 ),"
Rs. 799
Rs.  229
"
19,Kanny Devis - Black Wrap Around Sunglasses ( Pack of 1 ),"
Rs. 1,299
Rs.  184
"
20,Peter Jones Blue Rectangle Spectacle Frame M105BL,"
Rs. 1,299
Rs.  289
"
21,Peter Jones Blue Square Spectacle Frame M108BL,"
Rs. 1,200
Rs.  379
"
22,Peter Jones Golden Square Spectacle Frame 16006BG,"
Rs. 2,199
Rs.  675
"
23,Peter Jones Black Rectangle Spectacle Frame 3226B,"
Rs. 1,199
Rs.  399
"
24,Creature Red Cateye Spectacle Frame SPEX-106 RED,"
Rs. 1,499
Rs.  389
"
25,Peter Jones Silver Pilot Spectacle Frame TK002S,"
Rs. 2,650
Rs.  675
"
26,YourSpex Rectangle Spectacle Frame G-NS7029-C4,"
Rs. 3,999
Rs.  849
"
27,Peter Jones Grey Square Spectacle Frame 2430GT,"
Rs. 1,299
Rs.  419
"
28,SAN EYEWEAR - Brown Square Eyeglass Frame ( Pack of 1 ),"
Rs. 799
Rs.  219
"
29,T-JAX - Gold Pilot Eyeglass Frame ( Pack of 1 ),"
Rs. 1,599
Rs.  399
"
30,Peter Jones Grey Square Spectacle Frame 2469GT,"
Rs. 1,299
Rs.  419
"
31,SAN EYEWEAR - Dark Grey Square Eyeglass Frame ( Pack of 1 ),"
Rs. 1,999
Rs.  519
"
32,YourSpex - Brown Oval Eyeglass Frame ( Pack of 1 ),"
Rs. 3,145
Rs.  849
"
33,T-JAX - Multicolor Square Eyeglass Frame ( Pack of 1 ),"
Rs. 1,299
Rs.  399
"
34,Peter Jones Golden Square Spectacle Frame e2003,"
Rs. 1,499
Rs.  469
"
35,Peter Jones Golden Square Spectacle Frame TA001DA,"
Rs. 1,999
Rs.  599
"
36,Peter Jones Black Rectangle Spectacle Frame 1810B,"
Rs. 1,299
Rs.  399
"
37,SAN EYEWEAR - Blue Square Eyeglass Frame ( Pack of 1 ),"
Rs. 999
Rs.  219
"
38,T-JAX - Black Round Eyeglass Frame ( Pack of 1 ),"
Rs. 1,599
Rs.  399
"
39,Peter Jones Black Round Spectacle Frame 6139B,"
Rs. 1,399
Rs.  439
"
40,Peter Jones Blue Rectangle Spectacle Frame M105BL,"
Rs. 1,299
Rs.  289
"
41,DAYAKU Round Spectacle Frame DAYAKURNDSPCTRMFRM,"
Rs. 599
Rs.  239
"
42,Creature Black Rectangle Spectacle Frame SPEX-102 BLK G,"
Rs. 1,499
Rs.  389
"
43,SAN EYEWEAR - Red Round Eyeglass Frame ( Pack of 1 ),"
Rs. 999
Rs.  219
"
44,SAN EYEWEAR - Light Grey Round Eyeglass Frame ( Pack of 1 ),"
Rs. 1,999
Rs.  519
"
45,Peter Jones White Rectangle Spectacle Frame B113T,"
Rs. 1,299
Rs.  469
"
46,YourSpex Rectangle Spectacle Frame G-NS7029-C4,"
Rs. 3,999
Rs.  849
"
47,Peter Jones Grey Square Spectacle Frame 2430GT,"
Rs. 1,299
Rs.  419
"
48,Peter Jones Golden Pilot Spectacle Frame 98029DA,"
Rs. 2,199
Rs.  675
"
49,Peter Jones Silver Square Spectacle Frame 1544S,"
Rs. 2,650
Rs.  749
"
50,SAN EYEWEAR - Blue Square Eyeglass Frame ( Pack of 1 ),"
Rs. 999
Rs.  219
"
51,Peter Jones Black Rectangle Spectacle Frame 3226B,"
Rs. 1,199
Rs.  399
"
52,Creature Black Square Spectacle Frame SPEX-108 BLK M,"
Rs. 1,499
Rs.  389
"
53,SAN EYEWEAR - Silver Round Eyeglass Frame ( Pack of 1 ),"
Rs. 1,999
Rs.  359
"
54,Peter Jones Blue Square Spectacle Frame M108BL,"
Rs. 1,200
Rs.  379
"
55,SAN EYEWEAR - Black Square Eyeglass Frame ( Pack of 1 ),"
Rs. 999
Rs.  219
"
56,SAN EYEWEAR - Brown Rectangular Eyeglass Frame ( Pack of 1 ),"
Rs. 999
Rs.  219
"
57,Peter Jones Brown Pilot Spectacle Frame 2788BW,"
Rs. 1,299
Rs.  419
"
58,T-JAX - White Square Eyeglass Frame ( Pack of 1 ),"
Rs. 1,299
Rs.  399
"
59,SAN EYEWEAR - Black Round Eyeglass Frame ( Pack of 1 ),"
Rs. 999
Rs.  219
"
60,Creature - Black Square Sunglasses ( Pack of 2 ),"
Rs. 2,499
Rs.  419
"
61,Style Smith Unisex Square Polarized & UV Protected Black Lens Sunglasses,"
Rs. 999
Rs.  329
"
62,Arizona Sunglasses - Black Rectangular Sunglasses ( Pack of 1 ),"
Rs. 1,599
Rs.  369
"
63,Style Smith Unisex Pilot Polarized & UV Protected Green Lens Sunglasses,"
Rs. 799
Rs.  269
"
64,Fair-X - Gold Pilot Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  256
"
65,Creature - Green Square Sunglasses ( SUN-103 ),"
Rs. 1,499
Rs.  319
"
66,Fair-X - Dark Grey Pilot Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  206
"
67,Peter Jones - Silver Round Sunglasses ( Pack of 1 ),"
Rs. 1,200
Rs.  379
"
68,Creature - Blue Pilot Sunglasses ( Pack of 1 ),"
Rs. 1,499
Rs.  319
"
69,Peter Jones - Blue Pilot Sunglasses ( ZBLS006 ),"
Rs. 1,200
Rs.  379
"
70,DEPARTED - Black Cat Eye Sunglasses ( Pack of 1 ),"
Rs. 799
Rs.  249
"
71,Style Smith Unisex Pilot Polarized & UV Protected Grey Lens Sunglasses,"
Rs. 799
Rs.  359
"
72,Creature - Black Round Sunglasses ( Pack of 1 ),"
Rs. 1,499
Rs.  319
"
73,Creature - Black Visor Sunglasses ( Pack of 1 ),"
Rs. 1,499
Rs.  349
"
74,Fair-X - Black Square Sunglasses ( Pack of 1 ),"
Rs. 1,299
Rs.  232
"
75,Creature - Green Round Pack of 1 Sunglasses,"
Rs. 1,499
Rs.  319
"
76,Peter Jones - Green Pilot Sunglasses ( POS70GD ),"
Rs. 1,299
Rs.  449
"
77,Style Smith Unisex Pilot Polarized & UV Protected Brown Lens Sunglasses,"
Rs. 799
Rs.  229
"
78,Style Smith - Silver Rectangular Sunglasses ( Pack of 1 ),"
Rs. 1,199
Rs.  329
"
79,Peter Jones - Black Square Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  379
"
80,Fair-X - Gold Pilot Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  256
"
81,Walrus - Multicolor Panto Sunglasses ( WS-RYL-II-210606 ),"
Rs. 1,299
Rs.  239
"
82,Creature - Black Square Sunglasses ( Pack of 2 ),"
Rs. 2,499
Rs.  419
"
83,RESIST EYEWEAR - Black Square Sunglasses ( Pack of 1 ),"
Rs. 4,999
Rs.  1,299
"
84,Kanny Devis - Gold Pilot Sunglasses ( Pack of 1 ),"
Rs. 1,299
Rs.  189
"
85,Style Smith Unisex Pilot Polarized & UV Protected Green Lens Sunglasses,"
Rs. 799
Rs.  269
"
86,Style Smith Unisex Square Polarized & UV Protected Black Lens Sunglasses,"
Rs. 999
Rs.  329
"
87,Style Smith - Black Geometric Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  199
"
88,Fair-X - Dark Grey Pilot Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  206
"
89,Arizona Sunglasses - Black Rectangular Sunglasses ( Pack of 1 ),"
Rs. 1,599
Rs.  369
"
90,RESIST EYEWEAR - Black Pilot Sunglasses ( Pack of 1 ),"
Rs. 4,999
Rs.  1,299
"
91,Walrus - Green Oval Sunglasses ( WS-RYL-III-040606D ),"
Rs. 1,199
Rs.  239
"
92,Creature - Black Rectangular Sunglasses ( Pack of 1 ),"
Rs. 1,999
Rs.  319
"
93,"RESIST EYEWEAR - Rose Gold Pilot,Round Sunglasses ( Pack of 1 )","
Rs. 4,999
Rs.  1,299
"
94,"RESIST EYEWEAR - Black Square,Rectangle Sunglasses Pack of 1","
Rs. 4,999
Rs.  1,299
"
95,Peter Jones - Silver Round Sunglasses ( Pack of 1 ),"
Rs. 1,200
Rs.  379
"
96,Creature - Blue Square Pack of 1 Sunglasses,"
Rs. 1,999
Rs.  419
"
97,Style Smith - Black Rectangular Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  199
"
98,Style Smith - Black Wrap Around Sunglasses ( Pack of 1 ),"
Rs. 999
Rs.  279
"
99,Creature - Black Round Sunglasses ( Pack of 1 ),"
Rs. 1,499
Rs.  319
"
